CountryCode,Year,total_population
TCA,1960,5724
TUV,1960,6104
UGA,1960,6788211
UKR,1960,42662150
ARE,1960,92612
GBR,1960,52400000
USA,1960,180671000
URY,1960,2538651
UZB,1960,8789492
VUT,1960,63701
VEN,1960,8146845
VNM,1960,34743000
VIR,1960,32000
WBG,1960,NA
YEM,1960,5166311
ZMB,1960,3049586
ZWE,1960,3752390
ARB,1961,95041593
CSS,1961,4270928
CEB,1961,92237118
EAS,1961,1045789318
EAP,1961,895784704
EMU,1961,267825309
ECS,1961,675181708
ECA,1961,158242146
EUU,1961,413007006
FCS,1961,123125186
HPC,1961,166337526
HIC,1961,920970907
NOC,1961,189656817
OEC,1961,731314090
LCN,1961,226764342
LAC,1961,182952027
LDC,1961,246733124
LMY,1961,2155067832
LIC,1961,160642778
LMC,1961,964242763
MEA,1961,108392645
MNA,1961,100483718
MIC,1961,1994425054
"NAC",1961,202007500
OED,1961,798937506
OSS,1961,6721830
PSS,1961,889536
SST,1961,11882294
SAS,1961,584143236
SSF,1961,233759990
SSA,1961,233462001
UMC,1961,1030182291
WLD,1961,3076038739
AFG,1961,9164945
ALB,1961,1659800
DZA,1961,11404859
ASM,1961,20478
ADO,1961,14376
AGO,1961,5367287
ATG,1961,55403
ARG,1961,20953079
ARM,1961,1934239
ABW,1961,55435
AUS,1961,10483000
AUT,1961,7086299
AZE,1961,4030130
BHS,1961,115108
BHR,1961,167924
BGD,1961,49593610
BRB,1961,231674
BLR,1961,8271216
BEL,1961,9183948
BLZ,1961,94701
BEN,1961,2466002
BMU,1961,45500
BTN,1961,229297
BOL,1961,3764815
BIH,1961,3277096
BWA,1961,536576
BRA,1961,74706888
BRN,1961,85687
BGR,1961,7943118
BFA,1961,4894578
BDI,1961,2840375
CPV,1961,205958
KHM,1961,5872247
CMR,1961,5474509
CAN,1961,18271000
CYM,1961,8026
CAF,1961,1529229
TCD,1961,3061423
CHI,1961,110399
CHL,1961,7873504
CHN,1961,660330000
COL,1961,16982313
COM,1961,191828
ZAR,1961,15637715
COG,1961,1039966
CRI,1961,1381920
CIV,1961,3602075
HRV,1961,4171672
CUB,1961,7289828
CUW,1961,126125
CYP,1961,576395
CZE,1961,9586651
DNK,1961,4611687
DJI,1961,88499
DMA,1961,61035
DOM,1961,3406299
ECU,1961,4676858
EGY,1961,27810001
SLV,1961,2843246
GNQ,1961,255100
ERI,1961,1441297
EST,1961,1225077
ETH,1961,22671131
FRO,1961,34730
FJI,1961,407152
FIN,1961,4461005
FRA,1961,47444751
PYF,1961,80706
GAB,1961,504174
GMB,1961,376736
GEO,1961,3703600
DEU,1961,73377632
GHA,1961,6866545
GRC,1961,8398050
GRL,1961,33700
GRD,1961,91260
GUM,1961,68073
GTM,1961,4240084
GIN,1961,3633778
GNB,1961,623413
GUY,1961,582034
HTI,1961,3943363
HND,1961,2069085
HKG,1961,3168100
HUN,1961,10029321
ISL,1961,179029
IND,1961,458691457
IDN,1961,90138235
IRN,1961,22480420
IRQ,1961,7475354
IRL,1961,2824400
IMY,1961,48353
ISR,1961,2185000
ITA,1961,50536350
JAM,1961,1651915
JPN,1961,94943000
JOR,1961,891451
KAZ,1961,10129861
KEN,1961,8361442
KIR,1961,42261
PRK,1961,11665593
KOR,1961,25765673
KSV,1961,966000
KWT,1961,294639
KGZ,1961,2255900
LAO,1961,2169287
LVA,1961,2152681
LBN,1961,1864605
LSO,1961,866253
LBR,1961,1144896
LBY,1961,1483856
LIE,1961,16894
LTU,1961,2823550
LUX,1961,316845
MAC,1961,175135
MKD,1961,1507653
MDG,1961,5223621
MWI,1961,3700032
MYS,1961,8429369
MDV,1961,92327
MLI,1961,5322267
MLT,1961,325250
MHL,1961,15052
MRT,1961,883223
MUS,1961,680757
MEX,1961,39394125
FSM,1961,45956
MDA,1961,2605000
MCO,1961,22812
MNG,1961,982180
MNE,1961,480359
MAR,1961,12713043
MOZ,1961,7643290
MMR,1961,21961594
"NAM",1961,617282
NPL,1961,10215153
NLD,1961,11638712
NCL,1961,81200
NZL,1961,2419700
NIC,1961,1830400
NER,1961,3493636
NGA,1961,46144154
MNP,1961,10340
NOR,1961,3609800
OMN,1961,564895
PAK,1961,45988447
PLW,1961,9901
PAN,1961,1167041
PNG,1961,2001048
PRY,1961,1953331
PER,1961,10350239
PHL,1961,27164618
POL,1961,29964000
PRT,1961,8929316
PRI,1961,2399722
QAT,1961,51355
ROM,1961,18555250
RUS,1961,121236000
RWA,1961,2996091
WSM,1961,112121
SMR,1961,15787
STP,1961,64549
SAU,1961,4218879
SEN,1961,3265558
SRB,1961,NA
SYC,1961,42889
SLE,1961,2210169
SGP,1961,1702400
SXM,1961,NA
SVK,1961,4191667
SVN,1961,1594131
SLB,1961,121403
SOM,1961,2814683
ZAF,1961,17949962
SSD,1961,3011112
ESP,1961,30739250
LKA,1961,10168000
KNA,1961,51195
LCA,1961,90913
MAF,1961,4453
VCT,1961,82144
SDN,1961,7749884
SUR,1961,298190
SWZ,1961,357522
SWE,1961,7519998
CHE,1961,5434294
SYR,1961,4742596
TJK,1961,2140413
TZA,1961,10373380
THA,1961,28224208
TMP,1961,508311
TGO,1961,1597528
TON,1961,63740
TTO,1961,865356
TUN,1961,4277371
TUR,1961,28229291
TKM,1961,1649914
TCA,1961,5760
TUV,1961,6242
UGA,1961,7006629
UKR,1961,43203635
ARE,1961,100985
GBR,1961,52800000
USA,1961,183691000
URY,1961,2571691
UZB,1961,9044671
VUT,1961,65708
VEN,1961,8461684
VNM,1961,35428000
VIR,1961,34100
WBG,1961,NA
YEM,1961,5251663
ZMB,1961,3142848
ZWE,1961,3876638
ARB,1962,97691498
CSS,1962,4353408
CEB,1962,93014890
EAS,1962,1059972418
EAP,1962,907395358
EMU,1962,270324828
ECS,1962,683114331
ECA,1962,161168870
EUU,1962,416670637
FCS,1962,126006115
HPC,1962,170332701
HIC,1962,933025406
NOC,1962,192729589
OEC,1962,740295817
LCN,1962,233183206
LAC,1962,188416186
LDC,1962,252585904
LMY,1962,2195966846
LIC,1962,164180179
LMC,1962,986301567
MEA,1962,111418951
MNA,1962,103183668
MIC,1962,2031786667
"NAC",1962,205198600
OED,1962,809855392
OSS,1962,6853517
PSS,1962,919276
SST,1962,12126201
SAS,1962,596701125
SSF,1962,239403621
SSA,1962,239101639
UMC,1962,1045485100
WLD,1962,3128992252
AFG,1962,9343772
ALB,1962,1711319
DZA,1962,11690152
ASM,1962,21118
ADO,1962,15376
AGO,1962,5465905
ATG,1962,56311
ARG,1962,21287682
ARM,1962,2002170
ABW,1962,56226
AUS,1962,10742000
AUT,1962,7129864
AZE,1962,4167558
BHS,1962,121083
BHR,1962,173107
BGD,1962,51030604
BRB,1962,232584
BLR,1962,8351928
BEL,1962,9220578
BLZ,1962,97389
BEN,1962,2503232
BMU,1962,46600
BTN,1962,234703
BOL,1962,3838096
BIH,1962,3341809
BWA,1962,549990
BRA,1962,77007549
BRN,1962,89603
BGR,1962,8012946
BFA,1962,4960325
BDI,1962,2894510
CPV,1962,210866
KHM,1962,6026696
CMR,1962,5593768
CAN,1962,18614000
CYM,1962,8142
CAF,1962,1556656
TCD,1962,3122357
CHI,1962,111463
CHL,1962,8054166
CHN,1962,665770000
COL,1962,17500166
COM,1962,194960
ZAR,1962,16041247
COG,1962,1067611
CRI,1962,1432583
CIV,1962,3740503
HRV,1962,4202104
CUB,1962,7450404
CUW,1962,128414
CYP,1962,577691
CZE,1962,9624660
DNK,1962,4647727
DJI,1962,94200
DMA,1962,61984
DOM,1962,3521276
ECU,1962,4812892
EGY,1962,28560741
SLV,1962,2927861
GNQ,1962,257940
ERI,1962,1476321
EST,1962,1241623
ETH,1962,23221331
FRO,1962,35153
FJI,1962,421576
FIN,1962,4491443
FRA,1962,48119649
PYF,1962,83654
GAB,1962,509806
GMB,1962,383525
GEO,1962,3760300
DEU,1962,74025784
GHA,1962,7085463
GRC,1962,8448233
GRL,1962,35000
GRD,1962,92424
GUM,1962,69607
GTM,1962,4356579
GIN,1962,3690960
GNB,1962,629973
GUY,1962,600559
HTI,1962,4022596
HND,1962,2139208
HKG,1962,3305200
HUN,1962,10061734
ISL,1962,182378
IND,1962,468054145
IDN,1962,92558006
IRN,1962,23071426
IRQ,1962,7674220
IRL,1962,2836050
IMY,1962,48580
ISR,1962,2293000
ITA,1962,50879450
JAM,1962,1678467
JPN,1962,95832000
JOR,1962,943090
KAZ,1962,10532062
KEN,1962,8628973
KIR,1962,43312
PRK,1962,11871720
KOR,1962,26513030
KSV,1962,994000
KWT,1962,335161
KGZ,1962,2333400
LAO,1962,2219964
LVA,1962,2181586
LBN,1962,1925276
LSO,1962,881910
LBR,1962,1170267
LBY,1962,1536196
LIE,1962,17298
LTU,1962,2863350
LUX,1962,320750
MAC,1962,181025
MKD,1962,1527105
MDG,1962,5352674
MWI,1962,3784444
MYS,1962,8710678
MDV,1962,94909
MLI,1962,5381369
MLT,1962,323900
MHL,1962,15545
MRT,1962,909172
MUS,1962,700349
MEX,1962,40649590
FSM,1962,47387
MDA,1962,2664000
MCO,1962,23042
MNG,1962,1011328
MNE,1962,486092
MAR,1962,13100843
MOZ,1962,7799396
MMR,1962,22446690
"NAM",1962,632658
NPL,1962,10377061
NLD,1962,11805689
NCL,1962,83400
NZL,1962,2482000
NIC,1962,1886560
NER,1962,3596613
NGA,1962,47117859
MNP,1962,10541
NOR,1962,3638918
OMN,1962,578825
PAK,1962,47122931
PLW,1962,10150
PAN,1962,1202372
PNG,1962,2037165
PRY,1962,2005337
PER,1962,10650672
PHL,1962,28081234
POL,1962,30308500
PRT,1962,8993985
PRI,1962,2450322
QAT,1962,56187
ROM,1962,18676550
RUS,1962,122591000
RWA,1962,3050596
WSM,1962,115786
SMR,1962,16197
STP,1962,64429
SAU,1962,4362863
SEN,1962,3356421
SRB,1962,NA
SYC,1962,44042
SLE,1962,2239581
SGP,1962,1750200
SXM,1962,NA
SVK,1962,4238188
SVN,1962,1603649
SLB,1962,125068
SOM,1962,2874944
ZAF,1962,18459442
SSD,1962,3069990
ESP,1962,31023366
LKA,1962,10443000
KNA,1962,50966
LCA,1962,92086
MAF,1962,4566
VCT,1962,83206
SDN,1962,7981797
SUR,1962,306330
SWZ,1962,365719
SWE,1962,7561588
CHE,1962,5573815
SYR,1962,4897428
TJK,1962,2223956
TZA,1962,10683888
THA,1962,29081037
TMP,1962,517446
TGO,1962,1612758
TON,1962,66255
TTO,1962,880019
TUN,1962,4350811
TUR,1962,28909985
TKM,1962,1708711
TCA,1962,5762
TUV,1962,6391
UGA,1962,7240155
UKR,1962,43749469
ARE,1962,112240
GBR,1962,53250000
USA,1962,186538000
URY,1962,2603887
UZB,1962,9319510
VUT,1962,67806
VEN,1962,8790590
VNM,1962,36123000
VIR,1962,36300
WBG,1962,NA
YEM,1962,5339285
ZMB,1962,3240664
ZWE,1962,4006262
ARB,1963,100438281
CSS,1963,4435830
CEB,1963,93845749
EAS,1963,1085447747
EAP,1963,930292410
EMU,1963,272876446
ECS,1963,691101825
ECA,1963,164093090
EUU,1963,420393292
FCS,1963,129005734
HPC,1963,174484508
HIC,1963,945017907
NOC,1963,195817810
OEC,1963,749200097
LCN,1963,239771182
LAC,1963,194035506
LDC,1963,258670231
LMY,1963,2248870171
LIC,1963,167835124
LMC,1963,1008923908
MEA,1963,114525072
MNA,1963,105966779
MIC,1963,2081035047
"NAC",1963,208253700
OED,1963,820737024
OSS,1963,6988545
PSS,1963,949878
SST,1963,12374253
SAS,1963,609571502
SSF,1963,245217050
SSA,1963,244910884
UMC,1963,1072111139
WLD,1963,3193888078
AFG,1963,9531555
ALB,1963,1762621
DZA,1963,11985130
ASM,1963,21883
ADO,1963,16410
AGO,1963,5565808
ATG,1963,57368
ARG,1963,21621845
ARM,1963,2070427
ABW,1963,56697
AUS,1963,10950000
AUT,1963,7175811
AZE,1963,4307315
BHS,1963,127331
BHR,1963,178048
BGD,1963,52532595
BRB,1963,233587
BLR,1963,8437232
BEL,1963,9289770
BLZ,1963,100166
BEN,1963,2543335
BMU,1963,47700
BTN,1963,240364
BOL,1963,3913397
BIH,1963,3406466
BWA,1963,564316
BRA,1963,79368453
BRN,1963,93650
BGR,1963,8078145
BFA,1963,5027818
BDI,1963,2950903
CPV,1963,216913
KHM,1963,6181137
CMR,1963,5719135
CAN,1963,18964000
CYM,1963,8228
CAF,1963,1585765
TCD,1963,3184775
CHI,1963,112595
CHL,1963,8237555
CHN,1963,682335000
COL,1963,18033548
COM,1963,198205
ZAR,1963,16461914
COG,1963,1096502
CRI,1963,1484512
CIV,1963,3889859
HRV,1963,4231408
CUB,1963,7618359
CUW,1963,130860
CYP,1963,577912
CZE,1963,9670685
DNK,1963,4684483
DJI,1963,100622
DMA,1963,62920
DOM,1963,3638628
ECU,1963,4953735
EGY,1963,29322709
SLV,1963,3015885
GNQ,1963,260990
ERI,1963,1512671
EST,1963,1258857
ETH,1963,23798378
FRO,1963,35550
FJI,1963,436208
FIN,1963,4523309
FRA,1963,48803680
PYF,1963,86839
GAB,1963,516270
GMB,1963,389070
GEO,1963,3816100
DEU,1963,74714353
GHA,1963,7303432
GRC,1963,8479625
GRL,1963,36400
GRD,1963,93354
GUM,1963,71289
GTM,1963,4476923
GIN,1963,3749920
GNB,1963,636593
GUY,1963,618887
HTI,1963,4103732
HND,1963,2211144
HKG,1963,3420900
HUN,1963,10087947
ISL,1963,185653
IND,1963,477729958
IDN,1963,95055669
IRN,1963,23680433
IRQ,1963,7888914
IRL,1963,2852650
IMY,1963,49089
ISR,1963,2379000
ITA,1963,51252000
JAM,1963,1707019
JPN,1963,96812000
JOR,1963,999392
KAZ,1963,10913552
KEN,1963,8908425
KIR,1963,44372
PRK,1963,12065470
KOR,1963,27261747
KSV,1963,1022000
KWT,1963,381665
KGZ,1963,2413700
LAO,1963,2272078
LVA,1963,2210919
LBN,1963,1984982
LSO,1963,898342
LBR,1963,1196588
LBY,1963,1592111
LIE,1963,17722
LTU,1963,2898950
LUX,1963,324100
MAC,1963,188703
MKD,1963,1547445
MDG,1963,5486593
MWI,1963,3872124
MYS,1963,8999247
MDV,1963,97556
MLI,1963,5441611
MLT,1963,322550
MHL,1963,16111
MRT,1963,936014
MUS,1963,718861
MEX,1963,41939880
FSM,1963,48875
MDA,1963,2721000
MCO,1963,23169
MNG,1963,1042383
MNE,1963,491491
MAR,1963,13488517
MOZ,1963,7961458
MMR,1963,22947286
"NAM",1963,648668
NPL,1963,10544586
NLD,1963,11965966
NCL,1963,85700
NZL,1963,2531800
NIC,1963,1943591
NER,1963,3703159
NGA,1963,48128460
MNP,1963,10709
NOR,1963,3666537
OMN,1963,593504
PAK,1963,48312888
PLW,1963,10381
PAN,1963,1238824
PNG,1963,2075630
PRY,1963,2058916
PER,1963,10961539
PHL,1963,29016770
POL,1963,30712000
PRT,1963,9030355
PRI,1963,2504530
QAT,1963,61647
ROM,1963,18797850
RUS,1963,123960000
RWA,1963,3102968
WSM,1963,119564
SMR,1963,16616
STP,1963,64181
SAU,1963,4516663
SEN,1963,3450418
SRB,1963,NA
SYC,1963,45176
SLE,1963,2269890
SGP,1963,1795000
SXM,1963,NA
SVK,1963,4282017
SVN,1963,1616971
SLB,1963,128863
SOM,1963,2937360
ZAF,1963,18936138
SSD,1963,3131686
ESP,1963,31296651
LKA,1963,10582000
KNA,1963,50533
LCA,1963,93397
MAF,1963,4656
VCT,1963,84167
SDN,1963,8223613
SUR,1963,314530
SWZ,1963,373991
SWE,1963,7604328
CHE,1963,5694247
SYR,1963,5057825
TJK,1963,2312193
TZA,1963,11005882
THA,1963,29967043
TMP,1963,526936
TGO,1963,1631763
TON,1963,69000
TTO,1963,892571
TUN,1963,4436643
TUR,1963,29597047
TKM,1963,1769008
TCA,1963,5741
TUV,1963,6542
UGA,1963,7487411
UKR,1963,44285897
ARE,1963,125216
GBR,1963,53650000
USA,1963,189242000
URY,1963,2635128
UZB,1963,9611601
VUT,1963,69962
VEN,1963,9130346
VNM,1963,36836000
VIR,1963,38700
WBG,1963,NA
YEM,1963,5429501
ZMB,1963,3342894
ZWE,1963,4140804
ARB,1964,103273929
CSS,1964,4514432
CEB,1964,94722599
EAS,1964,1110558625
EAP,1964,952838633
EMU,1964,275382199
ECS,1964,698998988
ECA,1964,166977242
EUU,1964,424075860
FCS,1964,132146798
HPC,1964,178802599
HIC,1964,956921525
NOC,1964,198896794
OEC,1964,758024731
LCN,1964,246458356
LAC,1964,199754929
LDC,1964,265039360
LMY,1964,2302381215
LIC,1964,171657780
LMC,1964,1032387068
MEA,1964,117734910
MNA,1964,108832515
MIC,1964,2130723435
"NAC",1964,211262900
OED,1964,831581967
OSS,1964,7129954
PSS,1964,980370
SST,1964,12624756
SAS,1964,623073110
SSF,1964,251215851
SSA,1964,250904786
UMC,1964,1098336367
WLD,1964,3259302740
AFG,1964,9728645
ALB,1964,1814135
DZA,1964,12295973
ASM,1964,22701
ADO,1964,17470
AGO,1964,5665701
ATG,1964,58500
ARG,1964,21953926
ARM,1964,2138133
ABW,1964,57029
AUS,1964,11167000
AUT,1964,7223801
AZE,1964,4445653
BHS,1964,133697
BHR,1964,182774
BGD,1964,54129390
BRB,1964,234547
BLR,1964,8524224
BEL,1964,9378113
BLZ,1964,103070
BEN,1964,2586362
BMU,1964,48900
BTN,1964,246324
BOL,1964,3990855
BIH,1964,3468083
BWA,1964,579560
BRA,1964,81751802
BRN,1964,97933
BGR,1964,8144340
BFA,1964,5098892
BDI,1964,3011957
CPV,1964,223854
KHM,1964,6329411
CMR,1964,5850454
CAN,1964,19325000
CYM,1964,8299
CAF,1964,1616515
TCD,1964,3247798
CHI,1964,113778
CHL,1964,8423614
CHN,1964,698355000
COL,1964,18581972
COM,1964,201665
ZAR,1964,16903899
COG,1964,1126602
CRI,1964,1537035
CIV,1964,4049675
HRV,1964,4259680
CUB,1964,7787149
CUW,1964,133148
CYP,1964,578629
CZE,1964,9727804
DNK,1964,4722072
DJI,1964,107584
DMA,1964,63921
DOM,1964,3757962
ECU,1964,5099470
EGY,1964,30094082
SLV,1964,3106186
GNQ,1964,264743
ERI,1964,1550297
EST,1964,1277086
ETH,1964,24396965
FRO,1964,35946
FJI,1964,450452
FIN,1964,4548543
FRA,1964,49449403
PYF,1964,90132
GAB,1964,523793
GMB,1964,394552
GEO,1964,3870300
DEU,1964,75318337
GHA,1964,7513286
GRC,1964,8510429
GRL,1964,37600
GRD,1964,94066
GUM,1964,73048
GTM,1964,4600846
GIN,1964,3812004
GNB,1964,643962
GUY,1964,635778
HTI,1964,4186636
HND,1964,2282764
HKG,1964,3504600
HUN,1964,10119835
ISL,1964,188983
IND,1964,487690114
IDN,1964,97638027
IRN,1964,24308080
IRQ,1964,8122200
IRL,1964,2866550
IMY,1964,49818
ISR,1964,2475000
ITA,1964,51675350
JAM,1964,1734763
JPN,1964,97826000
JOR,1964,1060998
KAZ,1964,11267329
KEN,1964,9200158
KIR,1964,45424
PRK,1964,12282421
KOR,1964,27984155
KSV,1964,1050000
KWT,1964,431366
KGZ,1964,2495300
LAO,1964,2325742
LVA,1964,2240623
LBN,1964,2041212
LSO,1964,915473
LBR,1964,1224094
LBY,1964,1652294
LIE,1964,18170
LTU,1964,2935200
LUX,1964,327750
MAC,1964,197523
MKD,1964,1569143
MDG,1964,5625401
MWI,1964,3963424
MYS,1964,9287442
MDV,1964,100177
MLI,1964,5503748
MLT,1964,321250
MHL,1964,16702
MRT,1964,963746
MUS,1964,736381
MEX,1964,43264267
FSM,1964,50483
MDA,1964,2774000
MCO,1964,23237
MNG,1964,1074517
MNE,1964,496685
MAR,1964,13871988
MOZ,1964,8129268
MMR,1964,23471163
"NAM",1964,665297
NPL,1964,10719988
NLD,1964,12127120
NCL,1964,88100
NZL,1964,2585400
NIC,1964,2002119
NER,1964,3811813
NGA,1964,49169819
MNP,1964,10901
NOR,1964,3694339
OMN,1964,608889
PAK,1964,49555472
PLW,1964,10593
PAN,1964,1276274
PNG,1964,2116832
PRY,1964,2114095
PER,1964,11281015
PHL,1964,29962877
POL,1964,31139450
PRT,1964,9035365
PRI,1964,2554066
QAT,1964,67487
ROM,1964,18919126
RUS,1964,125345000
RWA,1964,3161719
WSM,1964,123354
SMR,1964,17033
STP,1964,64209
SAU,1964,4677409
SEN,1964,3547939
SRB,1964,NA
SYC,1964,46322
SLE,1964,2301023
SGP,1964,1841600
SXM,1964,NA
SVK,1964,4327341
SVN,1964,1632114
SLB,1964,132787
SOM,1964,3002173
ZAF,1964,19390554
SSD,1964,3196258
ESP,1964,31609195
LKA,1964,10903000
KNA,1964,49934
LCA,1964,94813
MAF,1964,4748
VCT,1964,85076
SDN,1964,8475765
SUR,1964,322995
SWZ,1964,382575
SWE,1964,7661354
CHE,1964,5789228
SYR,1964,5224579
TJK,1964,2401598
TZA,1964,11339076
THA,1964,30881332
TMP,1964,536798
TGO,1964,1662072
TON,1964,71757
TTO,1964,903272
TUN,1964,4530835
TUR,1964,30292969
TKM,1964,1829697
TCA,1964,5705
TUV,1964,6687
UGA,1964,7746181
UKR,1964,44794325
ARE,1964,138220
GBR,1964,54000000
USA,1964,191889000
URY,1964,2665387
UZB,1964,9917202
VUT,1964,72131
VEN,1964,9476255
VNM,1964,37574000
VIR,1964,41300
WBG,1964,NA
YEM,1964,5522690
ZMB,1964,3449266
ZWE,1964,4279561
ARB,1965,106192292
CSS,1965,4586896
CEB,1965,95447065
EAS,1965,1136727872
EAP,1965,976409639
EMU,1965,277856708
ECS,1965,706643949
ECA,1965,169769768
EUU,1965,427592610
FCS,1965,135445183
HPC,1965,183294395
HIC,1965,968445169
NOC,1965,201980369
OEC,1965,766464800
LCN,1965,253195267
LAC,1965,205534363
LDC,1965,271723894
LMY,1965,2357554897
LIC,1965,175683056
LMC,1965,1056418410
MEA,1965,121023167
MNA,1965,111779343
MIC,1965,2181871841
"NAC",1965,214031100
OED,1965,842088008
OSS,1965,7279828
PSS,1965,1010026
SST,1965,12876750
SAS,1965,636963781
SSF,1965,257414930
SSA,1965,257098003
UMC,1965,1125453431
WLD,1965,3326000066
AFG,1965,9935358
ALB,1965,1864791
DZA,1965,12626953
ASM,1965,23518
ADO,1965,18551
AGO,1965,5765025
ATG,1965,59653
ARG,1965,22283389
ARM,1965,2204650
ABW,1965,57360
AUS,1965,11388000
AUT,1965,7270889
AZE,1965,4579759
BHS,1965,140049
BHR,1965,187348
BGD,1965,55835020
BRB,1965,235373
BLR,1965,8610000
BEL,1965,9463667
BLZ,1965,106121
BEN,1965,2632360
BMU,1965,50100
BTN,1965,252629
BOL,1965,4070590
BIH,1965,3524596
BWA,1965,595741
BRA,1965,84130061
BRN,1965,102525
BGR,1965,8204168
BFA,1965,5174869
BDI,1965,3079034
CPV,1965,231427
KHM,1965,6467196
CMR,1965,5987671
CAN,1965,19678000
CYM,1965,8371
CAF,1965,1648830
TCD,1965,3310921
